Park Name,Score_A,Rank_A,Score_B,Rank_B
Death Valley National Park,544.0,1.0,502.0,3.0
Hawaii Volcanoes National Park,410.0,2.0,580.0,1.0
Redwood National Park,404.0,3.0,389.0,4.0
Channel Islands National Park,365.0,4.0,384.0,5.0
Haleakala National Park,332.0,5.0,508.0,2.0
Big Bend National Park,309.0,6.0,251.0,8.0
Grand Canyon National Park,302.0,7.0,244.0,9.0
Great Smoky Mountains National Park,298.0,8.0,264.0,7.0
Everglades National Park,255.0,9.0,266.0,6.0
Joshua Tree National Park,238.0,10.0,172.0,12.0
Carlsbad Caverns National Park,220.0,11.0,147.0,18.0
Zion National Park,216.0,12.0,154.0,15.0
Capitol Reef National Park,212.0,13.0,165.0,13.0
Great Basin National Park,209.0,14.0,134.0,21.0
Yosemite National Park,204.0,15.0,146.0,19.0
Mesa Verde National Park,203.0,16.0,158.0,14.0
Saguaro National Park,195.0,17.0,111.0,30.0
Shenandoah National Park,193.0,18.0,144.0,20.0
Lassen Volcanic National Park,191.0,19.0,150.0,17.0
Yellowstone National Park,189.0,20.0,114.0,28.0
Guadalupe Mountains National Park,188.0,21.0,116.0,27.0
Canyonlands National Park,186.0,22.0,154.0,15.0
Olympic National Park,185.0,23.0,130.0,22.0
Sequoia and Kings Canyon National Parks,182.0,24.0,125.0,25.0
Crater Lake National Park,178.0,25.0,134.0,21.0
Mammoth Cave National Park,177.0,26.0,188.0,11.0
Biscayne National Park,177.0,26.0,203.0,10.0
Grand Teton National Park,175.0,27.0,112.0,29.0
Petrified Forest National Park,174.0,28.0,119.0,26.0
North Cascades National Park,174.0,28.0,127.0,23.0
Glacier National Park,160.0,29.0,85.0,42.0
Arches National Park,157.0,30.0,99.0,34.0
Pinnacles National Park,155.0,31.0,92.0,38.0
Bryce Canyon National Park,153.0,32.0,94.0,37.0
Glacier Bay National Park and Preserve,152.0,33.0,152.0,16.0
Acadia National Park,151.0,34.0,100.0,33.0
Hot Springs National Park,151.0,34.0,111.0,30.0
Rocky Mountain National Park,149.0,35.0,95.0,36.0
Wind Cave National Park,146.0,36.0,98.0,35.0
Dry Tortugas National Park,142.0,37.0,126.0,24.0
Badlands National Park,139.0,38.0,87.0,40.0
Black Canyon of the Gunnison National Park,137.0,39.0,86.0,41.0
Isle Royale National Park,135.0,40.0,88.0,39.0
Mount Rainier National Park,123.0,41.0,87.0,40.0
Kenai Fjords National Park,120.0,42.0,126.0,24.0
Theodore Roosevelt National Park,118.0,43.0,84.0,43.0
Voyageurs National Park,118.0,43.0,72.0,46.0
Wrangell - St Elias National Park and Preserve,118.0,43.0,105.0,31.0
Great Sand Dunes National Park and Preserve,115.0,44.0,57.0,48.0
Cuyahoga Valley National Park,114.0,45.0,67.0,47.0
Katmai National Park and Preserve,100.0,46.0,101.0,32.0
Congaree National Park,99.0,47.0,82.0,44.0
Lake Clark National Park and Preserve,95.0,48.0,76.0,45.0
Denali National Park and Preserve,64.0,49.0,35.0,49.0
Kobuk Valley National Park,48.0,50.0,27.0,50.0
Gates Of The Arctic National Park and Preserve,42.0,51.0,21.0,51.0
